sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
cardamoms-production					0.53	0.63	0.67	0.54	0.58	0.62	0.56	0.58	0.57	0.48	0.46	0.50	0.69	0.71	0.75	1.05	1.01	1.00	0.06	0.07	0.06	0.08																																																																											
cashew-production					7.72	9.16	3.20	3.04	8.25	6.43	6.50	6.89	6.49	6.31	6.66	6.56	6.33	1.81		1.66	1.29	1.24	0.94	1.01	1.32	1.34																																																																											
cinnamon-production					24.02	24.68	24.50	23.97	16.23	15.87	16.09	15.94	15.79	14.60	14.06	13.36	12.99	13.38	14.88	14.02	13.00	13.60	13.49	10.68	10.81	11.45																																																																											
cloves-production					5.51	7.29	8.30	8.10	5.59	3.92	4.02	3.87	3.77	3.79	3.99	3.07	3.14	3.26	3.58	2.36	4.10	2.70	1.70	4.18	4.28	2.33																																																																											
cocoa-production					2.12	1.49	1.72	1.50	1.81	1.61	1.75	1.63	1.73	1.75	1.72	1.44	1.56	1.88	0.60	1.10	1.10	1.28	1.30	1.30	1.15	1.71																																																																											
coffee-production					6.45	5.43	5.59	5.36	6.59	5.57	5.34	5.32	5.24	5.41	5.65	6.05	6.46	3.53	3.49	3.09	2.36	2.35	2.54	2.54	3.25	2.17																																																																											
mace-production					0.10	0.20	0.19	0.19	0.21	0.30	0.19	0.21	0.25																																																																																								
nutmeg-production					3.07	3.19	2.72	2.43	2.79	2.25	1.81	2.00	2.13	1.40	3.00	3.07	3.14	3.26	1.42	1.50	1.50	1.03	1.03	1.03	1.15	1.12																																																																											
pepper-production					48.25	35.14	32.15	35.46	27.85	26.73	25.64	25.77	26.62	25.30	24.47	19.39	18.60	18.29	18.56	17.86	17.70	17.09	10.68	10.68	9.28	3.91																																																																											
tobacco-production					5.90	7.11	11.23	6.02	3.70	5.04	3.76	3.84	4.20	3.81	3.77	3.54	4.07	3.53	4.10	4.12	3.75	3.95	5.42	4.24	4.26	4.75																																																																											
