sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Western			725.00	673	649.00	659	812	723	333	327	295	-	-	-	-	-	-	-	-	-	-	n.a.	-	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Central			158.00	410	425.00	367	431	416	246	196	211	67	49	27	42	27	16	11	12	16	7	n.a.	6	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Southern			134.00	132	133.00	142	197	171	78	75	59	-	-	-	-	1	1	1	1	1	1	n.a.	1	1																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Northern			45.00	35	35.00	47	42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	-	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Eastern			102.00	84	125.00	101	82	50	21	18	22	-	-	-	-	-	-	-	-	-	-	n.a.	-	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-North-Western			118.00	143	151.00	141	155	164	104	615	78	...	2	1	-	1	2	1	1	-	1	n.a.	-	8																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-North-Central			63.00	61	64.00	75	67	58	47	24	25	24	19	18	12	14	19	7	12	12	11	n.a.	4	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Uva			115.00	113	98.00	102	119	126	56	54	51	-	-	14	-	-	-	-	-	-	-	n.a.	-	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Sabaragamuwa			110.00	114	120.00	96	124	113	57	55	53	-	-	-	-	-	-	0	0	0	-	n.a.	0.13	-																																																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Total			1,569	990	1,800	1,731	2,028	1,820	942	1,363	794	91	70	61	54	43	38	20	26	29	20	12	-	9	7	10	6																																																																										
Analysis of Revenue Collection of Provincial Councils-Licence Fee-Liquor-Western			n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	264	285	188	65	219	210	152	112	90	66	n.a.	58	41																																																																													
Analysis of Revenue Collection of Provincial Councils-Licence Fee-Liquor-Central			n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	118	114	76	27	78	60	64	47	62	39	n.a.	26	8																																																																													
